id,name,adm1_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,Qatar,QAT,18401.30221,19663.18028,21517.77934,21150.57359,22762.08038,19911.94063,19819.72446,18775.96431,16375.83174,15230.3672,15657.01244,16424.57924,18899.35772,19120.34428
2,Curacao,CUW,15761.8482,17074.09703,16742.86599,15645.34447,16273.30988,15277.17241,14690.8715,16338.3823,15420.03702,15722.02434,13815.72665,16162.02903,13441.61933,11800.97775
3,Iceland,ISL,11091.54887,10589.46619,10804.64172,10731.32864,10524.2507,10524.8775,12734.00662,14746.03134,16353.83127,16911.07978,17023.16682,18157.5981,17630.07147,18177.25257
4,Trinidad_and_Tobago,TTO,7759.777757,8635.74254,9356.780974,10413.69275,10876.63721,12426.39751,13798.86904,14608.00987,14117.1889,14203.08802,15109.24444,14791.34171,14346.93671,14537.57046
5,Bahrain,BHR,11948.43257,11783.0112,11704.30473,11826.4445,11189.7105,11948.98006,11787.78561,11291.12636,11404.50287,10212.89065,9952.243643,9628.853902,9417.037786,10171.68102
6,Kuwait,KWT,9745.927638,10083.49857,10105.83215,10496.2965,10833.11145,11662.26999,10788.96488,10395.11761,10661.66585,10947.5459,10525.88894,10040.44016,10121.43798,9757.448683
7,United_Arab_Emirates,ARE,11128.82148,11613.06767,11958.47746,11094.96971,10652.94314,9696.483203,8927.388032,8343.108767,8437.621863,7780.355472,7414.658562,7361.146583,7552.520502,7691.013739
8,Luxembourg,LUX,7676.837039,7982.850348,8204.726845,8549.502912,9387.437104,9428.811286,9170.532565,8773.896703,8612.233705,7951.723944,8329.430933,8056.358,7721.964192,7310.309923
9,Canada,CAN,8173.666562,7974.16268,7920.110229,8272.181052,8364.817409,8365.201102,8199.661504,8130.580193,7974.710981,7432.229309,7391.725825,7484.163804,7259.237881,7202.22731
10,Brunei,BRN,7213.665543,6549.73982,6282.739681,7166.027286,6456.87377,6128.702447,8560.426457,8618.396139,9303.572085,7860.922807,8238.793599,9695.713781,9444.963404,7392.868512
11,United_States,USA,8056.86385,7827.886325,7843.344849,7794.23553,7881.578642,7846.499688,7697.652535,7758.1657,7488.081638,7056.777215,7161.51709,7029.246764,6812.489605,6915.844739
12,Finland,FIN,6237.182463,6395.881618,6705.439836,7056.988913,7107.677024,6537.380749,7093.267376,6967.213239,6656.168867,6251.131559,6819.556128,6530.013704,6269.755416,6074.749787
13,Norway,NOR,5826.077769,5956.97791,5503.464511,5934.413908,5770.95457,5804.983723,5836.556148,5864.975931,6755.463474,6487.249018,6939.494017,5652.426527,5909.609764,6438.755199
14,Australia,AUS,5644.064951,5446.973214,5569.640992,5568.764941,5598.088178,5564.087169,5709.324617,5868.347097,5964.626668,5862.551944,5648.696586,5638.499225,5558.609429,5586.337977
15,Saudi_Arabia,SAU,4574.403103,4564.228351,4907.828675,4819.526527,4980.240712,4952.440491,5342.077028,5379.690979,5853.535686,6079.75803,6603.232955,6187.288869,6792.393503,6363.393314
16,Sweden,SWE,5360.145147,5680.280487,5802.110105,5650.43805,5847.344163,5711.127283,5529.077953,5472.135392,5379.959103,4883.20049,5427.925046,5274.643613,5269.485998,5131.537099
17,Belgium,BEL,5713.577369,5682.027051,5461.402903,5659.328866,5656.631517,5606.218645,5517.036473,5389.281647,5505.215093,5258.956496,5598.313574,5214.646176,4890.189613,5038.984274
18,Oman,OMN,3441.091219,3747.809396,3890.792152,4052.022683,4078.84996,4429.855945,6032.003904,6881.620819,6364.6269,6198.43574,6797.019581,7155.122596,6677.557661,6232.464156
19,Gibraltar,GIB,4674.381193,4745.721537,4761.459341,4799.893955,5090.402175,5191.33425,5332.710534,5268.894861,5308.28542,5655.57273,5628.855916,5436.089742,5473.313802,5795.712484
20,Singapore,SGP,4634.72585,5145.885754,5065.984507,6216.71293,7370.394877,5055.96632,5264.398658,4677.204306,5094.135714,4257.568962,5006.620992,5069.171794,4905.960485,4833.445079
21,Netherlands,NLD,4597.82834,4712.299625,4687.98228,4807.931279,4856.638946,4802.959803,4700.183242,4843.796088,4837.166893,4729.159957,5020.998479,4637.767016,4689.842388,4605.420463
22,Russia,RUS,4224.286188,4288.413918,4288.216989,4461.316454,4493.701995,4540.925655,4688.404578,4709.845744,4823.131537,4531.286685,4827.811257,5057.520887,5174.400368,5093.064779
23,Korea_Rep,KOR,4002.671284,4034.409286,4172.451559,4236.408084,4336.555285,4368.433351,4418.579253,4573.064867,4639.804801,4661.658836,5060.166221,5233.06122,5269.030545,5253.471543
24,Czech_Rep,CZE,3988.038494,4111.152482,4163.450106,4357.572662,4460.259931,4400.878113,4491.516134,4468.960352,4331.053099,4034.74351,4237.896741,4077.356059,4054.085018,3989.923316
25,New_Zealand,NZL,4430.227856,4407.618864,4337.380524,4197.593862,4239.645749,4095.143085,4047.318023,4054.495004,4082.723367,4073.238042,4225.094582,4177.197308,4375.379188,4391.560073
26,Turkmenistan,TKM,3305.538765,3330.969633,3438.909676,3794.688122,3920.639378,4038.738255,4090.039474,4606.190314,4612.016046,3993.406053,4499.236909,4840.844683,4944.322388,5011.619271
27,France,FRA,4135.647154,4246.133871,4225.606954,4271.078809,4301.8736,4290.505161,4196.237645,4120.305821,4116.330115,3919.219954,4024.252396,3853.84946,3844.554559,3839.856993
28,Germany,DEU,4094.06036,4209.796087,4108.401299,4084.503346,4114.406409,4086.616007,4204.798432,3985.808102,4036.827651,3790.469968,3997.046918,3797.778355,3876.948104,3867.62236
29,Austria,AUT,3562.325143,3749.749108,3765.282963,3964.418551,3998.738982,4104.071439,4091.946307,4029.626953,4040.79639,3830.967949,4079.864969,3943.432412,3930.583556,3917.847483
30,Estonia,EST,3374.70839,3541.512051,3415.780621,3798.038257,3893.395472,3846.392943,3775.035083,4243.648,4105.417736,3648.978843,4222.73719,4237.729191,4174.387766,4623.279112
31,Japan,JPN,4092.714087,4018.455639,4005.944094,3964.804421,4090.644453,4073.871976,4065.634309,4024.997953,3868.176218,3688.620179,3895.683454,3614.384799,3543.274217,3570.436812
32,Kazakhstan,KAZ,2397.202335,2324.54767,2674.255674,2891.093028,3383.074452,3358.971122,4012.785075,4267.99306,4457.168113,3944.317924,4234.926567,4670.990783,4399.11836,4786.670306
33,Slovenia,SVN,3224.379501,3381.112015,3424.452879,3463.52493,3571.194865,3645.837437,3649.422384,3627.523509,3828.063994,3449.453318,3539.24542,3545.039733,3409.074845,3323.248637
34,Denmark,DNK,3489.614796,3583.955723,3535.098014,3727.834179,3597.17296,3487.631914,3728.171039,3622.596833,3501.513847,3329.211067,3510.79685,3230.188031,3097.925592,3107.143595
35,Switzerland,CHE,3480.181091,3672.743599,3553.188557,3541.44917,3529.800903,3487.040741,3618.085221,3410.154948,3499.573792,3481.247847,3346.621411,3204.422983,3201.675758,3304.03286
36,United_Kingdom,GBR,3785.753126,3784.924132,3685.865479,3731.562876,3694.459125,3686.375964,3598.820185,3441.688766,3360.775378,3144.331155,3224.864161,2966.744784,3028.134185,2977.666808
37,Slovakia,SVK,3292.609005,3456.705473,3483.867506,3468.783673,3416.24785,3504.579636,3469.291394,3320.454722,3405.692968,3106.686165,3306.805544,3213.949767,3080.725034,3178.327899
38,Ireland,IRL,3626.747161,3713.513869,3661.322241,3515.094503,3558.085941,3503.642864,3424.160852,3416.030946,3293.884635,3153.759061,3161.544947,2878.956536,2871.11374,2840.196821
39,Spain,ESP,3026.489364,3067.972321,3107.867341,3157.227264,3238.502447,3251.397133,3194.081246,3180.03342,3026.338408,2757.691412,2742.877182,2689.684337,2683.36879,2503.794194
40,Italy,ITA,3012.195,3017.052046,3017.971659,3125.763238,3148.466351,3166.427547,3116.67779,3062.360547,2980.749466,2781.486653,2867.74255,2810.614713,2709.301742,2579.476677
41,Israel,ISR,2899.426618,2973.042708,2862.795738,2949.300417,2821.996916,2661.449185,2882.399025,2898.153368,3129.127764,2873.876109,3042.434021,2980.176157,3067.742494,2970.78789
42,Libya,LBY,2979.451082,3014.169253,3071.774832,3109.285052,3143.6875,3071.296895,2967.638873,2725.887925,2870.79109,3058.635008,3281.07663,2157.483989,2728.506512,2711.300391
43,Ukraine,UKR,2720.724287,2754.423668,2813.159691,3025.135471,3031.499549,3033.183675,2935.292315,2996.21074,2910.660899,2487.036282,2886.994574,2768.924126,2686.53096,2553.167449
44,Belarus,BLR,2456.162119,2485.702558,2550.250482,2643.619782,2752.800308,2769.083721,2965.663265,2918.197908,2932.098657,2790.068371,2900.220443,3097.712868,3222.617815,2881.506444
45,South_Africa,ZAF,2478.212864,2497.27814,2421.005778,2555.816017,2754.177812,2713.14997,2656.905532,2805.485656,2979.073853,2878.101098,2792.363722,2767.856455,2680.541518,2655.850172
46,Greece,GRC,2506.639948,2578.112105,2597.748289,2666.453637,2711.187743,2752.87518,2742.443851,2734.920111,2745.894439,2650.052395,2482.631816,2408.934741,2404.963653,2134.104396
47,Lithuania,LTU,2037.619559,2384.742732,2574.353331,2709.24976,2779.195902,2662.800735,2666.013336,2927.241223,2975.911996,2770.832358,2275.760166,2412.480702,2468.998816,2356.645002
48,Malaysia,MYS,2113.459983,2153.947356,2183.873421,2295.673768,2422.338466,2580.514499,2549.697849,2742.500273,2818.863511,2637.675361,2648.531482,2717.399766,2724.224432,3019.819231
49,Hungary,HUN,2448.140338,2512.67485,2520.152466,2580.207496,2579.291721,2731.039703,2713.257084,2658.036373,2636.646773,2480.637257,2568.379893,2504.334706,2372.873994,2280.385122
50,Iran,IRN,1868.160473,1997.535664,2039.149322,2082.070195,2244.313948,2462.25213,2544.315169,2662.254505,2821.155976,2828.011883,2794.493578,2825.054724,2883.366717,2960.384768
51,Bulgaria,BGR,2277.367967,2417.782442,2401.376609,2475.063964,2420.529019,2570.732697,2657.201826,2666.111445,2648.867056,2351.655053,2416.364922,2616.618365,2513.352381,2327.436524
52,Poland,POL,2320.376718,2336.445838,2314.20258,2375.006131,2382.721702,2413.84019,2536.608655,2526.99496,2564.428029,2466.388843,2640.238911,2654.493973,2566.574313,2565.408312
53,Portugal,PRT,2390.097939,2391.228193,2477.48975,2400.765918,2462.985059,2519.004925,2390.324614,2402.477994,2337.309083,2304.078907,2222.616546,2163.943752,2059.889048,2082.81023
54,Venezuela,VEN,2094.341326,2127.466703,2267.368588,2048.14106,2144.035739,2103.348206,2304.311179,2096.724621,2307.745328,2276.799915,2496.242983,2283.491661,2447.284134,2271.187535
55,Cyprus,CYP,2265.41445,2198.933521,2187.146833,2336.014627,2150.106268,2149.296039,2202.060874,2293.675685,2398.687106,2315.817901,2213.094316,2120.695584,1971.788794,1691.102893
56,Serbia,SRB,1826.357648,1994.463468,2119.78208,2223.783121,2424.404444,2159.573829,2300.733353,2248.155036,2290.125387,2070.229279,2141.055205,2236.087867,2018.773101,2078.490179
57,Hong_Kong,HKG,2033.435109,2130.017425,1981.917231,2038.247459,1917.10017,1884.978277,1975.749369,2107.973049,2049.110064,2163.37196,1946.798497,2088.270971,1993.610544,1938.360765
58,Latvia,LVA,1618.460011,1759.160865,1763.257557,1889.954129,1961.104616,2022.56433,2113.710733,2179.813891,2106.363689,2055.824686,2148.653551,2066.637569,2170.585832,2159.237561
59,Malta,MLT,1771.32286,2001.335783,1851.91265,2071.498462,2066.583929,2181.143737,2055.686046,2156.555797,2043.526903,1887.203408,1984.757833,1964.871189,2081.121932,1734.596362
60,Croatia,HRV,1760.124718,1790.091441,1856.868919,1984.677703,1989.448299,2003.182125,2014.520495,2102.145852,2048.482718,1969.284352,1938.54177,1971.428218,1855.434654,1813.931187
61,Chile,CHL,1659.005469,1608.068813,1644.791546,1642.374267,1728.854664,1762.10834,1813.512855,1860.100174,1822.003504,1754.169663,1812.961444,1953.897161,2139.763971,2201.175614
62,Uzbekistan,UZB,2063.585378,2050.219172,2109.31946,2015.767308,1964.132097,1799.40318,1815.949789,1777.914768,1823.311821,1591.991076,1512.821507,1613.810098,1625.988144,1419.477767
63,Argentina,ARG,1661.605508,1563.12609,1502.224881,1589.541099,1717.957226,1710.823374,1841.985806,1846.936756,1924.372627,1852.323145,1909.725704,1918.506379,1906.629811,1894.617872
64,Romania,ROU,1614.209768,1663.739288,1755.130026,1832.278607,1803.463242,1810.327263,1884.545121,1904.096886,1928.966361,1712.526096,1730.087676,1777.106154,1741.722606,1592.131494
65,Thailand,THA,1152.999055,1173.03406,1282.580235,1374.806575,1472.302695,1503.180532,1525.605035,1585.965952,1626.729752,1618.395537,1766.929356,1759.276249,1878.925894,1987.575903
66,China,CHN,919.3210198,932.5585022,978.6189831,1107.312837,1264.547148,1361.692317,1478.155483,1550.530271,1576.181107,1692.679892,1845.737283,1994.399592,2079.119715,2226.269871
67,Mexico,MEX,1408.555297,1424.27817,1412.869399,1467.264938,1485.561136,1537.092617,1534.152863,1551.289784,1572.878889,1500.42484,1486.027151,1525.352699,1545.498334,1545.775453
68,Azerbaijan,AZE,1403.433268,1410.965455,1414.528111,1476.590884,1539.230121,1599.960676,1559.568746,1411.55734,1520.313919,1334.166178,1279.552594,1369.350999,1472.897391,1474.003433
69,Bosnia_and_Herz,BIH,1145.89238,1105.36991,1156.996723,1152.383627,1257.009644,1314.761632,1380.757972,1381.122055,1552.585338,1620.089678,1689.932463,1864.554799,1745.897458,1687.968693
70,Lebanon,LBN,1517.229197,1566.267793,1484.228927,1413.917844,1368.810782,1264.984894,1182.124361,1034.922184,1322.13402,1590.248992,1471.095345,1382.390784,1456.572636,1337.171056
71,Macedonia,MKD,1325.864006,1274.568717,1245.776865,1371.531298,1347.308535,1370.941909,1432.301095,1474.711506,1469.663781,1367.357644,1396.127311,1511.246011,1431.804936,1349.475017
72,Turkey,TUR,1201.086613,1094.347395,1139.69491,1178.902004,1205.33882,1240.948399,1355.834165,1438.535269,1403.255104,1372.286562,1455.833956,1526.345416,1561.835094,1528.20253
73,Jamaica,JAM,1480.770946,1475.759492,1371.656585,1421.242849,1431.593553,1407.003931,1574.768888,1578.428916,1325.242689,1133.764777,1000.794552,1063.548628,1037.944017,1083.624191
74,Mongolia,MNG,999.6454549,997.9402652,1058.164856,1022.820564,1041.600227,1185.671023,1332.077512,1376.988602,1358.620068,1395.041602,1452.968436,1564.482866,1679.675424,1826.456872
75,Gabon,GAB,1194.130476,1252.477914,1229.364594,1213.474315,1216.34123,1250.756835,1263.524544,1281.681891,1289.600411,1324.567409,1370.617198,1380.061345,1401.148691,1434.913543
